WKT,name,description
"POINT (78.5761033 17.5442767)",63,Vishawakarma Bhavan-Second Entrance
"POINT (78.576161 17.5433905)",64,
"POINT (78.5768834 17.5447901)",65,
"POINT (78.5769377 17.5450943)",66,
"POINT (78.5745569 17.5431522)",67,
"POINT (78.5751335 17.5428862)",68,
"POINT (78.5741545 17.5431394)",69,Chipotle
"POINT (78.574335 17.5427364)",70,Yumpy's / Thickshake Factory
"POINT (78.5742462 17.5425803)",71,Gandhi  Bhavan
"POINT (78.574096 17.5426136)",72,Mess 1
"POINT (78.5739297 17.5427363)",73,Krishna Bhavan
"POINT (78.5738382 17.541702)",74,Meera Bhavan
"POINT (78.5735163 17.5418759)",75,Ganga Bhavan
"POINT (78.5731918 17.5412647)",76,
"POINT (78.573527 17.5411189)",77,
"POINT (78.5746834 17.5406101)",78,
"POINT (78.5748739 17.5409963)",79,Malviya Bhavan
"POINT (78.575016 17.5412239)",80,
"POINT (78.575303 17.5410858)",81,Student Activity Center
"POINT (78.5754103 17.5402904)",82,
"POINT (78.5754693 17.5404516)",83,SAC Backdoor
"POINT (78.5760107 17.5399412)",84,
"POINT (78.5764372 17.540312)",85,New Football Ground
"POINT (78.5766518 17.5404194)",86,Swimming Pool
"POINT (78.5768315 17.5404936)",87,
"POINT (78.5771614 17.5409591)",88,
"POINT (78.5774055 17.5407136)",89,
"POINT (78.5776308 17.5409693)",90,H8 (Staff Quarters)
"POINT (78.5771748 17.5414859)",91,
"POINT (78.5776147 17.541335)",92,H8 Block
"POINT (78.5773271 17.5418447)",93,
"POINT (78.5779457 17.542031)",94,
"POINT (78.5776777 17.5426776)",95,
"POINT (78.5772137 17.5428829)",96,
"POINT (78.5767471 17.543091)",97,
"POINT (78.576672 17.5431678)",98,
"POINT (78.576503 17.5432189)",99,Dean's Quarters
"POINT (78.5762777 17.5433289)",100,
"POINT (78.576817 17.5421041)",101,
"POINT (78.5763771 17.5423087)",102,
"POINT (78.5762907 17.5421082)",103,Medical Center
"POINT (78.5774132 17.540379)",104,Cricket Ground
"POINT (78.575868 17.542551)",105,
"POINT (78.5757133 17.5426185)",106,
"POINT (78.5755484 17.5426786)",107,Amul
"POINT (78.5756322 17.5424981)",108,Maggi Hotspot
"POINT (78.5754682 17.5420956)",109,Connaut Place Entrance 2
"POINT (78.5761213 17.5421864)",110,Connaut Place Entrance 1
"POINT (78.5753791 17.5419271)",111,Tennis Court
"POINT (78.5752054 17.5416357)",112,Gautum Bhavan
"POINT (78.575185 17.541529)",113,Basketball Stands
